name,type,brand,category,unit
Closeup Spice 482g,Spice,Closeup,Dairy,piece
ACI Cool Mobile 475g,Mobile,ACI Cool,Spices,piece
Nihar Shampoo 425g,Shampoo,Nihar,Bakery,liter
Singer Beverage 500g,Beverage,Singer,Dairy,piece
Fresh Detergent 295g,Detergent,Fresh,Stationery,piece
ACI Television 483g,Television,ACI,Bakery,piece
ACI Cool Rice 201g,Rice,ACI Cool,Bakery,pack
Unilever Toothpaste 64g,Toothpaste,Unilever,Grocery,ml
Parachute Shampoo 34g,Shampoo,Parachute,Stationery,piece
Fresh Television 46g,Television,Fresh,Cooking Oil,liter
Unilever Sugar 216g,Sugar,Unilever,Cooking Oil,pack
Teer Soap 247g,Soap,Teer,Dairy,pack
Square Juice 416g,Juice,Square,Cooking Oil,kg
Singer Food 94g,Food,Singer,Grocery,pack
Dettol Food 216g,Food,Dettol,Bakery,piece
Nihar Soap 27g,Soap,Nihar,Personal Care,liter
Square Detergent 181g,Detergent,Square,Spices,g
Pran Spice 295g,Spice,Pran,Cooking Oil,liter
Fresh Spice 114g,Spice,Fresh,Spices,liter
Closeup Soap 454g,Soap,Closeup,Home Appliances,ml
Teer Dairy 211g,Dairy,Teer,Home Appliances,pack
Radhuni Spice 113g,Spice,Radhuni,Dairy,liter
Fresh Biscuits 109g,Biscuits,Fresh,Snacks,pack
Teer Television 146g,Television,Teer,Clothing,liter
ACI Cool Tea 55g,Tea,ACI Cool,Cooking Oil,liter
Nihar Food 231g,Food,Nihar,Home Appliances,g
Dettol Toothpaste 156g,Toothpaste,Dettol,Bakery,g
ACI Cool Beverage 20g,Beverage,ACI Cool,Cooking Oil,g
Teer Lentils 210g,Lentils,Teer,Dairy,liter
Fresh Soap 431g,Soap,Fresh,Bakery,piece
Teer Spice 430g,Spice,Teer,Clothing,g
Closeup Sugar 194g,Sugar,Closeup,Electronics,g
Dettol Coffee 410g,Coffee,Dettol,Personal Care,g
Teer Soap 55g,Soap,Teer,Stationery,piece
Pran Detergent 418g,Detergent,Pran,Bakery,ml
Square Dairy 41g,Dairy,Square,Clothing,g
Pran Rice 23g,Rice,Pran,Personal Care,liter
Closeup Noodles 189g,Noodles,Closeup,Dairy,liter
Nihar Spice 190g,Spice,Nihar,Drinks,piece
Radhuni Detergent 172g,Detergent,Radhuni,Bakery,liter
Parachute Shampoo 494g,Shampoo,Parachute,Grocery,liter
Fun Foods Spice 46g,Spice,Fun Foods,Grocery,pack
Fresh Beverage 373g,Beverage,Fresh,Bakery,ml
ACI Cool Flour 173g,Flour,ACI Cool,Clothing,piece
Walton Refrigerator 169g,Refrigerator,Walton,Grocery,kg
Walton Dairy 143g,Dairy,Walton,Bakery,g
Parachute Rice 118g,Rice,Parachute,Spices,piece
Parachute Biscuits 271g,Biscuits,Parachute,Personal Care,kg
Radhuni Mobile 238g,Mobile,Radhuni,Home Appliances,liter
Teer Spice 475g,Spice,Teer,Spices,piece
Fresh Juice 397g,Juice,Fresh,Bakery,liter
ACI Cool Oil 222g,Oil,ACI Cool,Bakery,kg
ACI Food 324g,Food,ACI,Home Appliances,piece
ACI Cool Oil 360g,Oil,ACI Cool,Stationery,liter
ACI Cool Dairy 255g,Dairy,ACI Cool,Bakery,liter
Fresh Dairy 51g,Dairy,Fresh,Bakery,piece
Fresh Flour 365g,Flour,Fresh,Dairy,g
Closeup Noodles 424g,Noodles,Closeup,Grocery,ml
Singer Spice 7g,Spice,Singer,Home Appliances,liter
Dettol Shampoo 450g,Shampoo,Dettol,Personal Care,piece
Dettol Juice 196g,Juice,Dettol,Home Appliances,pack
Nihar Juice 15g,Juice,Nihar,Clothing,pack
Parachute Beverage 50g,Beverage,Parachute,Cooking Oil,liter
Walton Rice 499g,Rice,Walton,Home Appliances,kg
Teer Shampoo 456g,Shampoo,Teer,Electronics,piece
Unilever Shampoo 443g,Shampoo,Unilever,Home Appliances,liter
ACI Refrigerator 8g,Refrigerator,ACI,Stationery,piece
Pran Refrigerator 374g,Refrigerator,Pran,Stationery,pack
Fresh Lentils 346g,Lentils,Fresh,Grocery,ml
Walton Oil 474g,Oil,Walton,Home Appliances,piece
Fresh Spice 419g,Spice,Fresh,Drinks,pack
Closeup Food 219g,Food,Closeup,Bakery,kg
Square Noodles 474g,Noodles,Square,Grocery,g
Unilever Lentils 301g,Lentils,Unilever,Drinks,liter
Singer Oil 419g,Oil,Singer,Spices,kg
Square Oil 3g,Oil,Square,Spices,ml
Square Food 14g,Food,Square,Snacks,kg
Fresh Juice 19g,Juice,Fresh,Grocery,piece
Pran Beverage 8g,Beverage,Pran,Bakery,g
Nihar Refrigerator 113g,Refrigerator,Nihar,Bakery,ml
Fun Foods Mobile 261g,Mobile,Fun Foods,Spices,liter
Nihar Soap 355g,Soap,Nihar,Snacks,pack
Nihar Rice 211g,Rice,Nihar,Spices,g
Fun Foods Television 40g,Television,Fun Foods,Spices,kg
Fresh Soap 75g,Soap,Fresh,Stationery,ml
Fresh Noodles 484g,Noodles,Fresh,Drinks,pack
Fresh Food 387g,Food,Fresh,Snacks,kg
Walton Lentils 224g,Lentils,Walton,Snacks,pack
Radhuni Tea 82g,Tea,Radhuni,Electronics,kg
Pran Tea 192g,Tea,Pran,Cooking Oil,ml
Fresh Dairy 302g,Dairy,Fresh,Electronics,kg
Fun Foods Refrigerator 394g,Refrigerator,Fun Foods,Home Appliances,liter
Dettol Biscuits 88g,Biscuits,Dettol,Spices,kg
Unilever Rice 125g,Rice,Unilever,Dairy,pack
Fun Foods Beverage 250g,Beverage,Fun Foods,Snacks,piece
Closeup Noodles 2g,Noodles,Closeup,Cooking Oil,piece
Fun Foods Spice 131g,Spice,Fun Foods,Dairy,piece
Walton Oil 405g,Oil,Walton,Snacks,piece
Square Shampoo 277g,Shampoo,Square,Drinks,pack
Walton Food 42g,Food,Walton,Electronics,liter
Square Flour 431g,Flour,Square,Stationery,ml
Singer Television 288g,Television,Singer,Home Appliances,ml
Square Detergent 102g,Detergent,Square,Drinks,g
Fresh Noodles 391g,Noodles,Fresh,Stationery,pack
ACI Cool Dairy 250g,Dairy,ACI Cool,Stationery,kg
Walton Juice 140g,Juice,Walton,Spices,pack
Nihar Juice 29g,Juice,Nihar,Personal Care,piece
Closeup Rice 141g,Rice,Closeup,Clothing,piece
Singer Toothpaste 429g,Toothpaste,Singer,Drinks,piece
Square Toothpaste 276g,Toothpaste,Square,Drinks,piece
Dettol Shampoo 439g,Shampoo,Dettol,Stationery,piece
Dettol Soap 471g,Soap,Dettol,Stationery,g
Walton Noodles 294g,Noodles,Walton,Dairy,liter
Dettol Rice 73g,Rice,Dettol,Clothing,g
Nihar Dairy 282g,Dairy,Nihar,Grocery,pack
ACI Cool Lentils 96g,Lentils,ACI Cool,Snacks,pack
Pran Sugar 470g,Sugar,Pran,Grocery,g
Radhuni Oil 158g,Oil,Radhuni,Personal Care,pack
Fun Foods Shampoo 107g,Shampoo,Fun Foods,Electronics,kg
Fresh Coffee 277g,Coffee,Fresh,Stationery,pack
ACI Noodles 361g,Noodles,ACI,Drinks,ml
Pran Beverage 407g,Beverage,Pran,Dairy,g
Unilever Noodles 370g,Noodles,Unilever,Stationery,kg
Teer Food 409g,Food,Teer,Snacks,piece
Pran Mobile 201g,Mobile,Pran,Stationery,pack
Teer Rice 212g,Rice,Teer,Clothing,pack
ACI Cool Noodles 188g,Noodles,ACI Cool,Drinks,liter
Fresh Detergent 72g,Detergent,Fresh,Grocery,ml
Dettol Rice 395g,Rice,Dettol,Clothing,kg
Square Mobile 497g,Mobile,Square,Snacks,liter
Singer Soap 447g,Soap,Singer,Spices,piece
Fun Foods Noodles 264g,Noodles,Fun Foods,Bakery,ml
Closeup Rice 189g,Rice,Closeup,Personal Care,kg
Walton Noodles 444g,Noodles,Walton,Drinks,piece
Walton Toothpaste 1g,Toothpaste,Walton,Spices,piece
ACI Detergent 53g,Detergent,ACI,Grocery,kg
ACI Toothpaste 296g,Toothpaste,ACI,Home Appliances,liter
Square Toothpaste 250g,Toothpaste,Square,Personal Care,kg
Teer Tea 413g,Tea,Teer,Grocery,piece
Closeup Toothpaste 428g,Toothpaste,Closeup,Grocery,pack
Square Food 425g,Food,Square,Dairy,pack
Closeup Noodles 301g,Noodles,Closeup,Drinks,kg
Unilever Lentils 115g,Lentils,Unilever,Drinks,pack
Singer Tea 178g,Tea,Singer,Bakery,ml
Square Lentils 223g,Lentils,Square,Snacks,pack
Nihar Shampoo 261g,Shampoo,Nihar,Home Appliances,liter
Radhuni Sugar 399g,Sugar,Radhuni,Bakery,g
ACI Rice 261g,Rice,ACI,Dairy,piece
Nihar Toothpaste 239g,Toothpaste,Nihar,Cooking Oil,pack
Radhuni Coffee 329g,Coffee,Radhuni,Electronics,kg
Fresh Refrigerator 413g,Refrigerator,Fresh,Home Appliances,g
Unilever Tea 438g,Tea,Unilever,Bakery,liter
Nihar Shampoo 165g,Shampoo,Nihar,Grocery,g
Fresh Dairy 156g,Dairy,Fresh,Stationery,piece
Fun Foods Coffee 451g,Coffee,Fun Foods,Cooking Oil,kg
Closeup Beverage 358g,Beverage,Closeup,Bakery,kg
Parachute Soap 152g,Soap,Parachute,Clothing,piece
Walton Flour 265g,Flour,Walton,Grocery,liter
Unilever Spice 282g,Spice,Unilever,Cooking Oil,kg
Unilever Toothpaste 368g,Toothpaste,Unilever,Snacks,kg
ACI Cool Sugar 99g,Sugar,ACI Cool,Grocery,ml
Parachute Food 48g,Food,Parachute,Snacks,liter
Unilever Beverage 223g,Beverage,Unilever,Bakery,g
ACI Cool Rice 357g,Rice,ACI Cool,Home Appliances,ml
Fun Foods Beverage 239g,Beverage,Fun Foods,Dairy,pack
Singer Oil 490g,Oil,Singer,Spices,ml
Square Food 303g,Food,Square,Stationery,pack
Closeup Sugar 314g,Sugar,Closeup,Home Appliances,g
Singer Mobile 231g,Mobile,Singer,Cooking Oil,g
ACI Cool Flour 60g,Flour,ACI Cool,Dairy,pack
Nihar Juice 306g,Juice,Nihar,Home Appliances,kg
Fun Foods Juice 70g,Juice,Fun Foods,Home Appliances,pack
Closeup Flour 62g,Flour,Closeup,Clothing,piece
Unilever Refrigerator 479g,Refrigerator,Unilever,Stationery,g
Closeup Lentils 103g,Lentils,Closeup,Bakery,g
Square Beverage 325g,Beverage,Square,Spices,g
Teer Shampoo 445g,Shampoo,Teer,Grocery,kg
Walton Juice 100g,Juice,Walton,Snacks,ml
Singer Rice 398g,Rice,Singer,Home Appliances,piece
Fresh Refrigerator 401g,Refrigerator,Fresh,Home Appliances,g
Parachute Lentils 199g,Lentils,Parachute,Snacks,ml
Fresh Coffee 311g,Coffee,Fresh,Clothing,piece
Singer Detergent 75g,Detergent,Singer,Cooking Oil,g
ACI Cool Lentils 35g,Lentils,ACI Cool,Home Appliances,ml
Fresh Food 257g,Food,Fresh,Cooking Oil,pack
Unilever Food 23g,Food,Unilever,Snacks,liter
Parachute Detergent 102g,Detergent,Parachute,Drinks,piece
Teer Shampoo 209g,Shampoo,Teer,Cooking Oil,g
Singer Beverage 362g,Beverage,Singer,Electronics,kg
Radhuni Juice 332g,Juice,Radhuni,Drinks,pack
Closeup Sugar 228g,Sugar,Closeup,Personal Care,kg
Walton Biscuits 435g,Biscuits,Walton,Personal Care,g
Closeup Spice 295g,Spice,Closeup,Electronics,g
Singer Coffee 108g,Coffee,Singer,Electronics,piece
Teer Coffee 498g,Coffee,Teer,Drinks,pack
Dettol Lentils 268g,Lentils,Dettol,Cooking Oil,kg
Fresh Soap 482g,Soap,Fresh,Personal Care,kg
Fun Foods Rice 374g,Rice,Fun Foods,Dairy,pack
Parachute Coffee 79g,Coffee,Parachute,Spices,kg
Square Beverage 64g,Beverage,Square,Grocery,ml
Square Lentils 482g,Lentils,Square,Snacks,pack
Parachute Rice 392g,Rice,Parachute,Home Appliances,piece
Singer Lentils 97g,Lentils,Singer,Electronics,g
Parachute Toothpaste 128g,Toothpaste,Parachute,Drinks,ml
ACI Cool Dairy 411g,Dairy,ACI Cool,Bakery,ml
Square Rice 235g,Rice,Square,Drinks,g
ACI Cool Coffee 336g,Coffee,ACI Cool,Bakery,piece
ACI Cool Television 111g,Television,ACI Cool,Bakery,kg
Walton Tea 307g,Tea,Walton,Spices,g
Teer Food 365g,Food,Teer,Electronics,kg
ACI Sugar 176g,Sugar,ACI,Dairy,pack
Unilever Food 359g,Food,Unilever,Drinks,liter
Unilever Spice 267g,Spice,Unilever,Dairy,ml
Teer Toothpaste 321g,Toothpaste,Teer,Grocery,liter
Teer Mobile 280g,Mobile,Teer,Drinks,liter
Dettol Sugar 121g,Sugar,Dettol,Drinks,piece
Unilever Dairy 360g,Dairy,Unilever,Snacks,liter
Teer Oil 433g,Oil,Teer,Electronics,liter
ACI Flour 89g,Flour,ACI,Electronics,liter
Unilever Food 209g,Food,Unilever,Stationery,g
ACI Cool Mobile 79g,Mobile,ACI Cool,Snacks,liter
Parachute Shampoo 389g,Shampoo,Parachute,Spices,g
Dettol Detergent 31g,Detergent,Dettol,Cooking Oil,ml
Unilever Toothpaste 266g,Toothpaste,Unilever,Cooking Oil,pack
Radhuni Toothpaste 473g,Toothpaste,Radhuni,Electronics,ml
ACI Toothpaste 465g,Toothpaste,ACI,Snacks,liter
Fresh Beverage 304g,Beverage,Fresh,Spices,pack
Teer Toothpaste 206g,Toothpaste,Teer,Spices,pack
Dettol Food 78g,Food,Dettol,Stationery,g
Teer Food 283g,Food,Teer,Bakery,g
Pran Tea 80g,Tea,Pran,Stationery,kg
Radhuni Refrigerator 53g,Refrigerator,Radhuni,Stationery,piece
Unilever Spice 190g,Spice,Unilever,Dairy,kg
Parachute Noodles 256g,Noodles,Parachute,Cooking Oil,pack
Dettol Detergent 231g,Detergent,Dettol,Clothing,liter
Square Detergent 4g,Detergent,Square,Stationery,piece
Fun Foods Detergent 197g,Detergent,Fun Foods,Electronics,kg
Singer Biscuits 299g,Biscuits,Singer,Spices,pack
Radhuni Television 34g,Television,Radhuni,Personal Care,kg
Parachute Beverage 256g,Beverage,Parachute,Spices,g
Teer Sugar 495g,Sugar,Teer,Stationery,ml
ACI Cool Noodles 153g,Noodles,ACI Cool,Personal Care,liter
Pran Noodles 313g,Noodles,Pran,Drinks,kg
Singer Beverage 85g,Beverage,Singer,Electronics,liter
Singer Food 130g,Food,Singer,Dairy,kg
Singer Beverage 418g,Beverage,Singer,Snacks,liter
Walton Biscuits 189g,Biscuits,Walton,Dairy,pack
ACI Cool Mobile 42g,Mobile,ACI Cool,Clothing,ml
Closeup Flour 438g,Flour,Closeup,Stationery,kg
Walton Lentils 131g,Lentils,Walton,Personal Care,kg
Parachute Mobile 32g,Mobile,Parachute,Drinks,liter
Dettol Toothpaste 24g,Toothpaste,Dettol,Home Appliances,liter
Radhuni Shampoo 149g,Shampoo,Radhuni,Drinks,pack
Square Soap 45g,Soap,Square,Spices,g
ACI Oil 456g,Oil,ACI,Snacks,pack
Unilever Toothpaste 243g,Toothpaste,Unilever,Snacks,pack
Fresh Tea 418g,Tea,Fresh,Grocery,pack
Square Flour 325g,Flour,Square,Stationery,ml
Closeup Toothpaste 195g,Toothpaste,Closeup,Bakery,g
Closeup Oil 198g,Oil,Closeup,Grocery,kg
Pran Tea 440g,Tea,Pran,Drinks,piece
Radhuni Noodles 367g,Noodles,Radhuni,Bakery,piece
Teer Juice 302g,Juice,Teer,Drinks,ml
Unilever Oil 272g,Oil,Unilever,Cooking Oil,kg
Teer Oil 468g,Oil,Teer,Cooking Oil,piece
Radhuni Dairy 155g,Dairy,Radhuni,Personal Care,kg
Dettol Flour 325g,Flour,Dettol,Personal Care,kg
Closeup Noodles 371g,Noodles,Closeup,Grocery,pack
Pran Rice 283g,Rice,Pran,Drinks,liter
Square Flour 225g,Flour,Square,Home Appliances,pack
ACI Cool Noodles 83g,Noodles,ACI Cool,Stationery,pack
Radhuni Shampoo 353g,Shampoo,Radhuni,Cooking Oil,ml
Teer Beverage 123g,Beverage,Teer,Personal Care,kg
Radhuni Toothpaste 98g,Toothpaste,Radhuni,Cooking Oil,kg
Dettol Soap 428g,Soap,Dettol,Personal Care,liter
Square Lentils 114g,Lentils,Square,Cooking Oil,ml
Closeup Flour 238g,Flour,Closeup,Spices,pack
Fun Foods Lentils 269g,Lentils,Fun Foods,Grocery,piece
Fresh Oil 407g,Oil,Fresh,Clothing,liter
Pran Refrigerator 251g,Refrigerator,Pran,Snacks,kg
ACI Cool Television 124g,Television,ACI Cool,Spices,kg
Parachute Flour 23g,Flour,Parachute,Grocery,liter
Singer Mobile 286g,Mobile,Singer,Personal Care,ml
Dettol Mobile 74g,Mobile,Dettol,Stationery,pack
Square Juice 340g,Juice,Square,Home Appliances,g
Singer Sugar 43g,Sugar,Singer,Drinks,g
Pran Sugar 181g,Sugar,Pran,Clothing,pack
Fresh Juice 73g,Juice,Fresh,Grocery,piece
Teer Coffee 223g,Coffee,Teer,Snacks,kg
Closeup Lentils 16g,Lentils,Closeup,Personal Care,pack
Nihar Flour 111g,Flour,Nihar,Stationery,liter
Teer Biscuits 248g,Biscuits,Teer,Personal Care,liter
Teer Spice 166g,Spice,Teer,Grocery,kg
Closeup Detergent 462g,Detergent,Closeup,Stationery,g
Fun Foods Shampoo 85g,Shampoo,Fun Foods,Snacks,ml
Dettol Coffee 314g,Coffee,Dettol,Spices,pack
Square Television 461g,Television,Square,Bakery,g
Nihar Dairy 180g,Dairy,Nihar,Grocery,ml
Radhuni Coffee 175g,Coffee,Radhuni,Stationery,g
Nihar Coffee 218g,Coffee,Nihar,Grocery,pack
ACI Cool Flour 411g,Flour,ACI Cool,Spices,kg
Walton Food 206g,Food,Walton,Snacks,liter
ACI Lentils 221g,Lentils,ACI,Grocery,piece
Fun Foods Mobile 143g,Mobile,Fun Foods,Cooking Oil,piece
Singer Television 98g,Television,Singer,Spices,g
Walton Television 452g,Television,Walton,Personal Care,g
Walton Toothpaste 39g,Toothpaste,Walton,Home Appliances,pack
Walton Spice 121g,Spice,Walton,Stationery,kg
ACI Cool Tea 350g,Tea,ACI Cool,Snacks,pack
Parachute Beverage 180g,Beverage,Parachute,Personal Care,g
Pran Sugar 335g,Sugar,Pran,Dairy,piece
Singer Spice 208g,Spice,Singer,Drinks,ml
Singer Flour 433g,Flour,Singer,Snacks,piece
Walton Sugar 239g,Sugar,Walton,Dairy,kg
Parachute Refrigerator 394g,Refrigerator,Parachute,Stationery,g
Fun Foods Dairy 330g,Dairy,Fun Foods,Bakery,liter
Singer Mobile 266g,Mobile,Singer,Spices,pack
Parachute Flour 492g,Flour,Parachute,Electronics,g
Unilever Detergent 488g,Detergent,Unilever,Grocery,liter
Radhuni Shampoo 29g,Shampoo,Radhuni,Grocery,piece
Radhuni Noodles 486g,Noodles,Radhuni,Personal Care,piece
ACI Cool Dairy 369g,Dairy,ACI Cool,Electronics,g
Closeup Refrigerator 367g,Refrigerator,Closeup,Electronics,liter
Teer Beverage 271g,Beverage,Teer,Home Appliances,g
ACI Cool Rice 216g,Rice,ACI Cool,Personal Care,pack
Walton Tea 150g,Tea,Walton,Grocery,piece
Teer Juice 257g,Juice,Teer,Personal Care,pack
Walton Mobile 422g,Mobile,Walton,Bakery,g
Fun Foods Lentils 323g,Lentils,Fun Foods,Drinks,piece
Teer Juice 238g,Juice,Teer,Snacks,pack
ACI Spice 424g,Spice,ACI,Dairy,ml
Square Sugar 322g,Sugar,Square,Cooking Oil,pack
Parachute Toothpaste 115g,Toothpaste,Parachute,Home Appliances,g
Fresh Beverage 486g,Beverage,Fresh,Home Appliances,kg
Fresh Food 438g,Food,Fresh,Personal Care,liter
Square Television 152g,Television,Square,Clothing,ml
Square Rice 92g,Rice,Square,Cooking Oil,piece
Dettol Detergent 424g,Detergent,Dettol,Bakery,kg
Nihar Oil 103g,Oil,Nihar,Drinks,g
Fresh Noodles 257g,Noodles,Fresh,Clothing,liter
Closeup Beverage 341g,Beverage,Closeup,Grocery,ml
Singer Spice 417g,Spice,Singer,Snacks,liter
Walton Rice 351g,Rice,Walton,Spices,ml
Parachute Television 445g,Television,Parachute,Spices,g
Parachute Coffee 70g,Coffee,Parachute,Personal Care,g
Fresh Dairy 24g,Dairy,Fresh,Electronics,pack
Closeup Detergent 333g,Detergent,Closeup,Electronics,kg
ACI Sugar 208g,Sugar,ACI,Snacks,pack
Teer Noodles 53g,Noodles,Teer,Stationery,ml
Parachute Television 77g,Television,Parachute,Electronics,piece
Parachute Mobile 85g,Mobile,Parachute,Home Appliances,liter
ACI Cool Flour 494g,Flour,ACI Cool,Cooking Oil,pack
Unilever Food 453g,Food,Unilever,Electronics,pack
Walton Beverage 254g,Beverage,Walton,Stationery,piece
Pran Soap 34g,Soap,Pran,Dairy,piece
Dettol Oil 76g,Oil,Dettol,Clothing,pack
Unilever Tea 240g,Tea,Unilever,Cooking Oil,liter
Walton Beverage 144g,Beverage,Walton,Electronics,ml
Walton Spice 153g,Spice,Walton,Electronics,pack
ACI Cool Noodles 106g,Noodles,ACI Cool,Home Appliances,liter
Fun Foods Television 73g,Television,Fun Foods,Stationery,g
Teer Oil 69g,Oil,Teer,Snacks,g
Fresh Oil 449g,Oil,Fresh,Spices,piece
ACI Food 221g,Food,ACI,Bakery,piece
Radhuni Beverage 109g,Beverage,Radhuni,Snacks,piece
ACI Cool Coffee 490g,Coffee,ACI Cool,Clothing,g
Fun Foods Toothpaste 274g,Toothpaste,Fun Foods,Stationery,ml
ACI Cool Lentils 499g,Lentils,ACI Cool,Electronics,piece
Radhuni Biscuits 152g,Biscuits,Radhuni,Electronics,g
Radhuni Juice 471g,Juice,Radhuni,Spices,g
Radhuni Rice 127g,Rice,Radhuni,Dairy,piece
Radhuni Juice 153g,Juice,Radhuni,Stationery,liter
Walton Biscuits 166g,Biscuits,Walton,Drinks,piece
Square Spice 20g,Spice,Square,Bakery,ml
Nihar Television 339g,Television,Nihar,Grocery,pack
Dettol Food 262g,Food,Dettol,Home Appliances,piece
Fresh Toothpaste 176g,Toothpaste,Fresh,Stationery,ml
Parachute Tea 90g,Tea,Parachute,Spices,kg
Teer Juice 150g,Juice,Teer,Snacks,g
Fresh Tea 88g,Tea,Fresh,Grocery,ml
Closeup Soap 116g,Soap,Closeup,Dairy,liter
Walton Lentils 29g,Lentils,Walton,Grocery,piece
Nihar Food 245g,Food,Nihar,Stationery,piece
Parachute Dairy 122g,Dairy,Parachute,Home Appliances,g
Fun Foods Lentils 200g,Lentils,Fun Foods,Spices,ml
Walton Rice 117g,Rice,Walton,Home Appliances,pack
Fresh Coffee 356g,Coffee,Fresh,Cooking Oil,liter
Closeup Soap 95g,Soap,Closeup,Electronics,pack
Nihar Food 437g,Food,Nihar,Grocery,kg
Parachute Spice 300g,Spice,Parachute,Snacks,piece
Square Coffee 272g,Coffee,Square,Dairy,ml
Pran Rice 58g,Rice,Pran,Spices,ml
Nihar Soap 172g,Soap,Nihar,Spices,piece
ACI Cool Toothpaste 111g,Toothpaste,ACI Cool,Snacks,liter
Unilever Biscuits 366g,Biscuits,Unilever,Bakery,liter
Pran Mobile 219g,Mobile,Pran,Dairy,liter
Dettol Juice 30g,Juice,Dettol,Electronics,g
Parachute Toothpaste 337g,Toothpaste,Parachute,Drinks,pack
